id,sha256,label,year,split,pkg_name,market,source_split
0005e35076402af3e3885353678dc124a54fc8166e64d6f8d576361be234bf1d,0005e35076402af3e3885353678dc124a54fc8166e64d6f8d576361be234bf1d,0,2023,train,com.yd.yylsb,other,test
0009c0561158e9f28582dd2c62c7b1ee9789e3333707c49c11cffcc3513de406,0009c0561158e9f28582dd2c62c7b1ee9789e3333707c49c11cffcc3513de406,1,2022,train,me.rhmipkji.hmjtks.pqvk,other,val
0016913e62a2799a14ec9e2d67fb539de5305fb3d1855817befaabe49de9bdb3,0016913e62a2799a14ec9e2d67fb539de5305fb3d1855817befaabe49de9bdb3,0,2019,train,sr.developers.alllanguagecameratranslatorpro,play,train
001947cfa0b4b6dadda771ca3535b882304816e1e03998eb05ceafb037e8fa61,001947cfa0b4b6dadda771ca3535b882304816e1e03998eb05ceafb037e8fa61,0,2023,train,com.icrtouch.tta.woodlandholidaypark,play,test
0019ce6519cec536bfe684a32bba58377ff2b4064b039d259f4d1bac9425f100,0019ce6519cec536bfe684a32bba58377ff2b4064b039d259f4d1bac9425f100,0,2020,train,com.albari.agentapp,play,train
00243571b972d509f219cdb71df7450aa1fc3d2706c36d7b72a03c534e7790a8,00243571b972d509f219cdb71df7450aa1fc3d2706c36d7b72a03c534e7790a8,1,2022,train,com.jjyyh.woel.smk,other,val
00245d7bbbeeb88ba18de4df5a98d54f37b156f124b0e63db2bee2ac168a7a78,00245d7bbbeeb88ba18de4df5a98d54f37b156f124b0e63db2bee2ac168a7a78,1,2022,train,com.jieshun.jscarlife,other,val
0036e6adfea0017109ba482b7e21c8a9fd643d2c0331c0634276fc46bb72a6c4,0036e6adfea0017109ba482b7e21c8a9fd643d2c0331c0634276fc46bb72a6c4,1,2020,train,fanbing.bingcha.oliumei.fayuan,other,train
0042b66c80f4024471f0bd339970712e9a78c6b412b8a7744a5309b444289518,0042b66c80f4024471f0bd339970712e9a78c6b412b8a7744a5309b444289518,1,2021,train,com.taobao.meipingmi,other,train
004be79af1ee5de52a093c1f2ad600ea2e46beb2ffea3fc46cb15e9b9204e8f5,004be79af1ee5de52a093c1f2ad600ea2e46beb2ffea3fc46cb15e9b9204e8f5,0,2021,train,com.Magician.ColorSpinningDart,play,train
00511790eae84f1cf121eff7964414d0be0fd886334aed282276fa0ada9ab570,00511790eae84f1cf121eff7964414d0be0fd886334aed282276fa0ada9ab570,0,2024,train,com.came.thermosg,play,test
0053c285750b50f87c38dd3c60a086f831300253f4d9b742b8e8dd732c4060dd,0053c285750b50f87c38dd3c60a086f831300253f4d9b742b8e8dd732c4060dd,0,2019,train,com.romiro.shakilamusic,play,train
006444de6629ed05f7f7cf7a360bd8e0a91e77e67d8da32fb803ec771e322ddb,006444de6629ed05f7f7cf7a360bd8e0a91e77e67d8da32fb803ec771e322ddb,1,2020,train,com.ugoodtech.goodcareasyloan,other,train
0066908dfdf79188908d05dcf743d7b71e011cfbc91bd2e84a7bf8959d7629da,0066908dfdf79188908d05dcf743d7b71e011cfbc91bd2e84a7bf8959d7629da,0,2023,train,ac.chilli,play,test
008250a4fc6f01efbd24a678fe1dc6793f897e103b88d8f37d2e179f118269bc,008250a4fc6f01efbd24a678fe1dc6793f897e103b88d8f37d2e179f118269bc,0,2024,train,com.nyaoon.marimba,play,test
0088072af69bd65c6db34637cdd48d2e90c3ec0998fd21485ec2a73697403ed8,0088072af69bd65c6db34637cdd48d2e90c3ec0998fd21485ec2a73697403ed8,0,2021,train,com.teanapps.jamtimefree,play,train
009aa22be3c92d9d8c6449339e07e8a38c6aea5780d5b639134ef03849f35c12,009aa22be3c92d9d8c6449339e07e8a38c6aea5780d5b639134ef03849f35c12,1,2018,train,com.TissueBoxDesign.ndukdroid,play,train
00b582d28d502fb5f293eff5d76732bd96b2c46bb441f93953f785ade66455ac,00b582d28d502fb5f293eff5d76732bd96b2c46bb441f93953f785ade66455ac,1,2021,train,com.bie.ios.BBQ.aiyouxi.egame,other,train
00b6bb3fdfca6a475ed57ee215f8ae20ceef2b3d12a941b2901d41f512bc8e18,00b6bb3fdfca6a475ed57ee215f8ae20ceef2b3d12a941b2901d41f512bc8e18,0,2021,train,com.payrupes.app,play,train
00b9683ffc6466d85f0dfcfdc7a992a08f34e2ba006499c6db3ad86cfaf56183,00b9683ffc6466d85f0dfcfdc7a992a08f34e2ba006499c6db3ad86cfaf56183,0,2020,train,com.guangyao.wohai,other,train
00c0653df9e30d6360b1c194d181ac8a8314dcd9bd15320d6412bdccf5cedd0b,00c0653df9e30d6360b1c194d181ac8a8314dcd9bd15320d6412bdccf5cedd0b,0,2018,train,ihl.tongs,play,train
00cb24de4fcf445089c51934235fa34ee35b738f4d2710b54c2cfbe6869cb636,00cb24de4fcf445089c51934235fa34ee35b738f4d2710b54c2cfbe6869cb636,1,2018,train,net.qq.tencent,other,train
00ce5f687b9f7b6eaf9e08b2def3b842599366f56644c046f6dbafd59725033a,00ce5f687b9f7b6eaf9e08b2def3b842599366f56644c046f6dbafd59725033a,1,2020,train,net.savage.ovpn,play,train
00d2fcd0f40ad8a540bd7816668b984700857352121f438db46a7b7178a7bb73,00d2fcd0f40ad8a540bd7816668b984700857352121f438db46a7b7178a7bb73,0,2024,train,aplus.cursodegeologa,play,test
00d90bab05deef53d3686f32838f2f856c53410a0717326f6fe7f1ac04f677d3,00d90bab05deef53d3686f32838f2f856c53410a0717326f6fe7f1ac04f677d3,1,2019,train,com.vlocker.theme57b45f4f4e3d40f22b8b5a95,other,train
00e6a1466b3bb90496ab9be8e882f8c56c0736fbe33e5a07bc865088766d0625,00e6a1466b3bb90496ab9be8e882f8c56c0736fbe33e5a07bc865088766d0625,0,2021,train,com.bhst.chat,other,train
00e901fcc8c70cc41096a6138d066fb6d600c95f6f737eabb9aa8f17ca949736,00e901fcc8c70cc41096a6138d066fb6d600c95f6f737eabb9aa8f17ca949736,1,2021,train,com.rwx.ishop,other,train
00ece20b62ed31a1774affb528b337e9dec83b5f9cdc5f927ab67fa9a8bdca18,00ece20b62ed31a1774affb528b337e9dec83b5f9cdc5f927ab67fa9a8bdca18,0,2024,train,com.seraku.gwatch.greenmonitor,play,test
00eceb21690a9d4a12a5fea0a2d81b8a9c29020067ad8257046770440480c6bd,00eceb21690a9d4a12a5fea0a2d81b8a9c29020067ad8257046770440480c6bd,0,2018,train,com.mirraw.android.lehengas,play,train
00ef4f934c08e89864fa4f966b75698127af655703530a4d799cff3ccc4f3bff,00ef4f934c08e89864fa4f966b75698127af655703530a4d799cff3ccc4f3bff,0,2021,train,com.curious.camps,play,train
00f774ac3b94268d1b7680b278b03bd7ac5c25fd39fb3526d3da4ed285bd1230,00f774ac3b94268d1b7680b278b03bd7ac5c25fd39fb3526d3da4ed285bd1230,1,2023,train,com.judian.malajiacanba,other,test
00fe242ad3a6bc97a60d1110d56c0bd57a8156db22fc9d838da80b592cf7ec06,00fe242ad3a6bc97a60d1110d56c0bd57a8156db22fc9d838da80b592cf7ec06,0,2021,train,com.bluebook.fancy.stylishfont,play,train
01015d3082c7be6fd3d926f3503955ce93d1959ebaaf28957bc5894e6c9c0d3a,01015d3082c7be6fd3d926f3503955ce93d1959ebaaf28957bc5894e6c9c0d3a,1,2020,train,com.stonepoleapp.slidingglassdoorkitchen,play,train
0113bfb9ca44f72d121a4b0cce4262912b1ba3cbab9d49aa62166911db4b33cb,0113bfb9ca44f72d121a4b0cce4262912b1ba3cbab9d49aa62166911db4b33cb,1,2019,train,com.connecttsoftware.angel.free,play,train
